Cena,Vrsta ponudbe,Lokacija vozila,Znamka avtomobila,Model avtomobila,Tip avtomobila,Leto izdelave,Leto modela,V prometu od,Prva registracija v RS,Registracija do,Prevoženi kilometri:,Motor,Moč motorja:,Delovna prostornina:,Menjalnik,Poraba goriva,Ekološka kategorija vozila,Lastnik,Servisna knjiga,Garažiran,Število prestav,Plin,Najvišja emisija CO2,Kupim,Stanje,Garancija,Luksuzno vozilo
0,,"""Osrednjeslovenska",Seat,Altea,styalance 2.0 tdi,2007,,2007,1900,,140000 ,Diezel,103 ,1968 ,Mehanski menjalnik,,,,,,,,,,,,
0,,"""Osrednjeslovenska",Volvo,V40,1.9 TD,2002,,2002,1900,,220000 ,Diezel,75 ,1870 ,Mehanski menjalnik,,,,,,,,,,,,
10,,Podravska,Peugeot,207,N/A,2009,,2009,1900,,72000 ,Bencin,54 ,1360 ,Mehanski menjalnik,,,,,,,,,,,,
5000,Prodam,"""Posavska",Citroën,C5,Tourer 2.0 HDI,2014,2014,2014,2014,06 / 2022,199000 ,Diezel,103 ,1997 ,Mehanski menjalnik,5.4 l/100km,,,,,6 stopenj,,,,,,
0,,"""Podravska",Ford,Fiesta,Titanium 1.25 16V PO DELIH ALI,2011,,2011,1900,,1 ,Bencin,60 ,1242 ,Mehanski menjalnik,,,,,,,,,,,,
0,,"""Podravska",Honda,CR-V,2.2i-CTDi PO DELIH ALI V CELOT,2007,,2007,1900,,1 ,Diezel,103 ,2204 ,Mehanski menjalnik,,,,,,,,,,,,
0,,"""Podravska",Citroën,C2,1.4i SX PO DELIH ALI V CELOTI,2005,,2005,1900,,1 ,Bencin,54 ,1360 ,Mehanski menjalnik,,,,,,,,,,,,
10,,Podravska,Chevrolet,Cruze,N/A,2011,,2011,1900,,78000 ,Bencin,91 ,1598 ,,,,,,,,,,,,,
0,,"""Podravska",Fiat,Ducato,2.8 JTD,2000,,2000,1900,,11111 ,Diezel,,2800 ,,,,,,,,,,,,,
0,,"""Podravska",Citroën,C5, 1.6 HDi FAP Attraction  ,2009,,2009,1900,,11111 ,Diezel,,1560 ,Mehanski menjalnik,,,,,,,,,,,,
0,,"""Podravska",Opel,Astra,"""1",2011,,2011,1900,,11111 ,Bencin,,1598 ,,,,,,,,,,,,,
6600,Prodam,"""Pomurska",BMW,serija 3 Cabriolet,1.8IC,2002,2002,,,,320000 ,Bencin,105 ,1800 ,Mehanski menjalnik,,,,,,,,,,,,
0,,"""Podravska",Citroën,Berlingo, 1.6 HDI  ,2010,,2010,1900,,11111 ,Diezel,,1560 ,,,,,,,,,,,,,
0,,"""Podravska",Ford,Focus, Karavan 1.6 TDCi  ,2012,,2012,1900,,11111 ,Diezel,,1560 ,,,,,,,,,,,,,
0,,"""Podravska",Ford,Fiesta,Colourline 1.4 16V  ,2011,,2011,1900,,11111 ,Bencin,71 ,1388 ,,,,,,,,,,,,,
0,,"""Podravska",Peugeot,Partner,Tepee 1.6 HDi Confort  ,2010,,2010,1900,,11111 ,Diezel,55 ,1560 ,,,,,,,,,,,,,
0,,"""Podravska",VW,Polo,1.2 Comfortline  ,2010,,2010,1900,,11111 ,Bencin,,1198 ,,,,,,,,,,,,,
0,,"""Podravska",Renault,Clio,"""1",2003,,2003,1900,,11111 ,Bencin,55 ,1149 ,,,,,,,,,,,,,
0,,"""Podravska",Ford,Fiesta,Comfort 1.4 16V,2006,,2006,1900,,11111 ,Bencin,59 ,1388 ,,,,,,,,,,,,,
0,,"""Podravska",VW,Touran,1.9 TDI Basis  ,2005,,2005,1900,,11111 ,Diezel,,1896 ,,,,,,,,,,,,,
0,,"""Podravska",Ford,Focus,1.6 16V Comfort  ,2004,,2004,1900,,11111 ,Bencin,74 ,1596 ,,,,,,,,,,,,,
0,,"""Podravska",Seat,Altea,1.9 TDI  ,2006,,2006,1900,,11111 ,Diezel,77 ,1896 ,,,,,,,,,,,,,
0,,"""Podravska",Toyota,Auris,1.6 Luna,2010,,2010,1900,,11111 ,Bencin,97 ,1598 ,,,,,,,,,,,,,
0,,"""Podravska",Audi,A4,"""2",2006,,2006,1900,,11111 ,Diezel,103 ,1968 ,,,,,,,,,,,,,
0,,"""Podravska",Seat,Ibiza,Style 1.2  ,2010,,2010,1900,,11111 ,Bencin,,1198 ,,,,,,,,,,,,,
0,,"""Podravska",MINI,Coupe, Mini Coupe   ,2002,,2002,1900,,11111 ,Bencin,85 ,1598 ,,,,,,,,,,,,,
10,,Podravska,Opel,Astra,N/A,2006,,2006,1900,,1 ,Bencin,77 ,1598 ,Mehanski menjalnik,,,,,,,,,,,,
10,,Podravska,VW,Passat,N/A,2006,,2006,1900,,1 ,Diezel,103 ,1968 ,Avtomatski,,,,,,,,,,,,
0,,"""Podravska",Dacia,Duster, 4x4 1.6 16V  ,2012,,2012,1900,,11111 ,Bencin,77 ,1598 ,,,,,,,,,,,,,
0,,"""Podravska",Renault,Megane,1.6 16V  ,2009,,2009,1900,,11111 ,Bencin,74 ,1598 ,,,,,,,,,,,,,
5000,Prodam,"""Posavska",Citroën,C5,Tourer 2.0 HDI,2014,2014,2014,2014,06 / 2022,199000 ,Diezel,103 ,1997 ,Mehanski menjalnik,5.4 l/100km,,,,,6 stopenj,,,,,,
0,,"""Podravska",VW,Passat Variant, 2.0 TDI Comfortline  ,2007,,2007,1900,,11111 ,Diezel,,1968 ,,,,,,,,,,,,,
0,,"""Podravska",Fiat,500, 0.9 TwinAir Turbo Pop,2011,,2011,1900,,11111 ,Bencin,,875 ,,,,,,,,,,,,,
0,,"""Podravska",Audi,A4, 2.0 TDI S LINE  ,2009,,2009,1900,,11111 ,Diezel,,1968 ,,,,,,,,,,,,,
0,,"""Podravska",VW,Polo,"""1",2010,,2010,1900,,11111 ,Bencin,51 ,1198 ,,,,,,,,,,,,,
0,,"""Podravska",Opel,Mokka, 1.6  ,2013,,2013,1900,,11111 ,Bencin,85 ,1598 ,,,,,,,,,,,,,
0,,"""Podravska",VW,Golf VI, 2.0 TDI GT,2010,,2010,1900,,11111 ,Diezel,125 ,1968 ,,,,,,,,,,,,,
0,,"""Podravska",VW,Passat Variant, 2.0 TDI Comfortline  ,2007,,2007,1900,,11111 ,Diezel,103 ,1968 ,,,,,,,,,,,,,
650,Prodam,"""Osrednjeslovenska",Renault,Twingo,osebni,2000,,,,01 / 2023,165000 ,Bencin,,1200 ,Mehanski menjalnik,,,,,,,,,,,,
10,,Podravska,Chevrolet,Aveo,N/A,2007,,2007,1900,,1 ,Bencin,49 ,1399 ,Mehanski menjalnik,,,,,,,,,,,,
10,,Podravska,Fiat,Doblo,N/A,2009,,2009,1900,,1 ,Diezel,88 ,1910 ,,,,,,,,,,,,,
10,,Podravska,Peugeot,107,N/A,2007,2007,2007,1900,,120000 ,Bencin,50 ,998 ,Mehanski menjalnik,,,,,,,,,,,,
0,,"""Podravska",Renault,Megane,Sedan 1.5 dCi Elan  ,2010,,2010,1900,,11111 ,Diezel,,1461 ,,,,,,,,,,,,,
10,,Podravska,Opel,Corsa,N/A,2003,,2003,1900,,1 ,Diezel,48 ,1686 ,Mehanski menjalnik,,,,,,,,,,,,
0,,"""Podravska",Honda,Accord,"""2",2004,,2004,1900,,11111 ,Diezel,103 ,2204 ,,,,,,,,,,,,,
0,,"""Podravska",Kia,Drugi modeli,1.4 CVVT LX City  ,2009,,2009,1900,,11111 ,Bencin,,1396 ,,,,,,,,,,,,,
0,,"""Podravska",Nissan,Micra,1.2 Acenta  ,2008,,2008,1900,,11111 ,Bencin,,1240 ,,,,,,,,,,,,,
0,,"""Podravska",Renault,Megane,Grandtour 1.5 dCi Privilege Co,2005,,2005,1900,,11111 ,Diezel,,1461 ,,,,,,,,,,,,,
10,,Podravska,Citroën,Xsara Picasso,N/A,2002,,2002,1900,,1 ,Bencin,65 ,1587 ,Mehanski menjalnik,,,,,,,,,,,,
10,,Podravska,Toyota,Yaris,N/A,2003,,2003,1900,,1 ,Bencin,50 ,998 ,,,,,,,,,,,,,
10,,Podravska,Renault,Megane Grandtour,N/A,2004,,2004,1900,,1 ,Diezel,88 ,1870 ,,,,,,,,,,,,,
10,,Podravska,Nissan,Primera,N/A,2005,,2005,1900,,1 ,Bencin,85 ,1769 ,Mehanski menjalnik,,,,,,,,,,,,
10,,Podravska,Honda,Jazz,N/A,2004,,2004,1900,,1 ,Bencin,61 ,1339 ,Mehanski menjalnik,,,,,,,,,,,,
0,,"""Podravska",Citroën,C5,Tourer 1.6 HDi FAP Tenda  ,2012,,2012,1900,,11111 ,Diezel,82 ,1560 ,,,,,,,,,,,,,
0,,"""Podravska",Chevrolet,Aveo,1.4 LTZ,2012,,2012,1900,,11111 ,Bencin,74 ,1398 ,,,,,,,,,,,,,
0,,"""Osrednjeslovenska",Citroën,C2,1.4 HDI SX,2005,,2005,1900,,110000 ,Diezel,50 ,1398 ,Mehanski menjalnik,,,,,,,,,,,,
0,,"""Osrednjeslovenska",Opel,Corsa,1.4 16V,2008,,2008,1900,,120000 ,Bencin,66 ,1364 ,Mehanski menjalnik,,,,,,,,,,,,
5000,Prodam,"""Posavska",Citroën,C5,Tourer 2.0 HDI,2014,2014,2014,2014,06 / 2022,199000 ,Diezel,103 ,1997 ,Mehanski menjalnik,5.4 l/100km,,,,,6 stopenj,,,,,,
0,,"""Podravska",Ford,Kuga, 2.0 TDCi 4x4 Individual DPF  ,2012,,2012,1900,,11111 ,Diezel,,1997 ,,,,,,,,,,,,,
10,,Podravska,Peugeot,Partner,N/A,2001,,2001,1900,,1 ,Diezel,66 ,1997 ,Mehanski menjalnik,,,,,,,,,,,,
10,,Podravska,VW,Lupo,N/A,2000,,2000,1900,,1 ,Bencin,37 ,999 ,Mehanski menjalnik,,,,,,,,,,,,
0,,"""Osrednjeslovenska",Renault,Megane Sedan,2.0 dCi Dynamique Luxe,2006,2006,2006,1900,,230000 ,Diezel,110 ,1995 ,Mehanski menjalnik,,,,,,,,,,,,
0,,"""Osrednjeslovenska",Dacia,Logan,1.2 16V MCV Ambiance,2016,,2016,1900,,15000 ,Bencin,54 ,1149 ,Mehanski menjalnik,,,,,,,,,,,,
0,,"""Osrednjeslovenska",Peugeot,308,Premium 1.6 hdi Fap,2009,,2009,1900,,135000 ,Diezel,80 ,1560 ,Mehanski menjalnik,,,,,,,,,,,,
0,,"""Podravska",Ford,Fusion,"""1",2009,,2009,1900,,11111 ,Bencin,74 ,1596 ,,,,,,,,,,,,,
6300,Prodam,"""Gorenjska",VW,Transporter,VW T5  2.5 TDI 4MOTION ,2007,,,,,316270 ,Diezel,96 ,2461 ,Mehanski menjalnik,,,,,Da,,,,,,,
0,,"""Osrednjeslovenska",Volvo,XC90,AWD D5 MOMENTUM,2006,,2006,1900,,280000 ,Diezel,120 ,2401 ,Avtomatski,,,,,,,,,,,,
0,,"""Osrednjeslovenska",Škoda,Rapid,1.6 Tdi Spaceback Ambition,2014,,2014,1900,,15000 ,Diezel,77 ,1598 ,Mehanski menjalnik,,,,,,,,,,,,
0,,"""Osrednjeslovenska",Opel,Tigra,1.8 i,2007,,2007,1900,,70000 ,Bencin,82 ,1796 ,Mehanski menjalnik,,,,,,,,,,,,
0,,"""Osrednjeslovenska",Opel,Meriva,1.6 16 V COSMO easytron.,2004,,2004,1900,,160000 ,Bencin,74 ,1598 ,Avtomatski,,,,,,,,,,,,
0,,"""Osrednjeslovenska",Opel,Astra,1.7 CDTi sport tourer,2012,,2012,1900,,99000 ,Diezel,92 ,1686 ,Mehanski menjalnik,,,,,,,,,,,,
0,,"""Osrednjeslovenska",Opel,Antara,2.0 CDTi Cosmo avt.,2010,,2010,1900,,196000 ,Diezel,110 ,1991 ,Avtomatski sekvenčni,,,,,,,,,,,,
10,,Podravska,Ford,Fusion,N/A,2008,,2008,1900,,1 ,Diezel,50 ,1399 ,Mehanski menjalnik,,,,,,,,,,,,
10,,Podravska,Citroën,C2,N/A,2005,,2005,1900,,1 ,Diezel,50 ,1398 ,Mehanski menjalnik,,,,,,,,,,,,
0,,"""Osrednjeslovenska",Nissan,Juke,1.6 16V Acenta,2011,,2011,1900,,50000 ,Bencin,86 ,1598 ,Mehanski menjalnik,,,,,,,,,,,,
0,,"""Osrednjeslovenska",Nissan,Juke,1.5 dCI Tekna,2012,,2012,1900,,100000 ,Diezel,81 ,1461 ,Mehanski menjalnik,,,,,,,,,,,,
0,,"""Osrednjeslovenska",Mitsubishi,Pajero,3.8 V6 Instyle  avt.,2008,,2008,1900,,150000 ,Bencin,184 ,3828 ,Avtomatski,,,,,,,,,,,,
0,,"""Osrednjeslovenska",Mitsubishi,Pajero,3.2 DID,2002,,2002,1900,,155000 ,Diezel,121 ,3200 ,Mehanski menjalnik,,,,,,,,,,,,
0,,"""Osrednjeslovenska",Ssang Yong,Kyron,2.0 L XDI COMFORT,2006,,2006,1900,,200000 ,Diezel,104 ,1998 ,Mehanski menjalnik,,,,,,,,,,,,
0,,"""Osrednjeslovenska",Mercedes-Benz,Drugi modeli,350CDI Blueeff. Avantgarde,2010,,2010,1900,,160000 ,Diezel,170 ,2987 ,Avtomatski,,,,,,,,,,,,
0,,"""Osrednjeslovenska",Mercedes-Benz,Drugi modeli,220 CDI Avantgarde,2007,2007,2007,1900,,150000 ,Diezel,125 ,2148 ,Avtomatski,,,,,,,,,,,,
0,,"""Osrednjeslovenska",Mercedes-Benz,Drugi modeli,320CDI  Avantgarde,2008,2008,2008,1900,,165000 ,Diezel,165 ,2987 ,Avtomatski,,,,,,,,,,,,
0,,"""Osrednjeslovenska",Mercedes-Benz,Drugi modeli,220 CDI ELEGANCE,2011,,2011,1900,,80000 ,Diezel,125 ,2143 ,Avtomatski,,,,,,,,,,,,
0,,"""Podravska",Ford,Mondeo,1.8 TDCi Trend ,2009,,2009,1900,,11111 ,Diezel,,1753 ,,,,,,,,,,,,,
5000,Prodam,"""Posavska",Citroën,C5,Tourer 2.0 HDI,2014,2014,2014,2014,06 / 2022,199000 ,Diezel,103 ,1997 ,Mehanski menjalnik,5.4 l/100km,,,,,6 stopenj,,,,,,
0,,"""Osrednjeslovenska",Smart,Drugi modeli,DPF Softouch passion Cdi,2009,,2009,1900,,110000 ,Diezel,33 ,799 ,Avtomatski,,,,,,,,,,,,
0,,"""Osrednjeslovenska",Seat,Leon,1.8 TSI Style,2008,,2008,1900,,116000 ,Bencin,118 ,1800 ,Mehanski menjalnik,,,,,,,,,,,,
0,,"""Osrednjeslovenska",Seat,Ibiza,1.9 SDI Fresc,2005,,2005,1900,,150000 ,Diezel,47 ,1896 ,Mehanski menjalnik,,,,,,,,,,,,
0,,"""Osrednjeslovenska",Seat,Alhambra,1.9 TDI,2002,,2002,1900,,220000 ,Diezel,85 ,1896 ,Mehanski menjalnik,,,,,,,,,,,,
0,,"""Osrednjeslovenska",Peugeot,308,2.0 hdi Premium  pack,2009,,2009,1900,,20000 ,Diezel,100 ,1997 ,Mehanski menjalnik,,,,,,,,,,,,
0,,"""Osrednjeslovenska",Peugeot,308,1.6 16V Premium pack,2008,,2008,1900,,28000 ,Bencin,110 ,1598 ,Mehanski menjalnik,,,,,,,,,,,,
0,,"""Osrednjeslovenska",Opel,Zafira,1.7 CDTi Cosmo,2010,,2010,1900,,110000 ,Diezel,92 ,1686 ,Mehanski menjalnik,,,,,,,,,,,,
0,Prodam,"""Savinjska",Volvo,340,GL,1986,1986,1986,1986,,138000 ,Bencin,52 ,1397 ,Mehanski menjalnik,,,,Da,,5 stopenj,,,,,,
0,,"""Osrednjeslovenska",Mercedes-Benz,Drugi modeli,A 150 ELEGANCE,2007,2007,2007,1900,,160000 ,Bencin,70 ,1498 ,Mehanski menjalnik,,,,,,,,,,,,
0,,"""Osrednjeslovenska",Mazda,6,1.8 TE,2003,2003,2003,1900,,200000 ,Bencin,88 ,1798 ,Mehanski menjalnik,,,,,,,,,,,,
0,,"""Osrednjeslovenska",BMW,X5,3.0 d,2005,,2005,1900,,260000 ,Diezel,160 ,2993 ,Avtomatski,,,,,,,,,,,,
0,,"""Osrednjeslovenska",BMW,serija 5,530 d,2011,,2011,1900,,78000 ,Diezel,180 ,2993 ,Avtomatski,,,,,,,,,,,,
0,,"""Osrednjeslovenska",BMW,serija 5 Touring,525 d,2005,,2005,1900,,157000 ,Diezel,130 ,2497 ,Avtomatski,,,,,,,,,,,,
0,,"""Osrednjeslovenska",Audi,A3,2.0 tdi,2009,,2009,2009,,150000 ,Diezel,103 ,1986 ,Mehanski menjalnik,,,,,,,,,,,,
0,,Podravska,Renault,Twingo,N/A,2010,,2010,1900,,1 ,Diezel,55 ,1461 ,Mehanski menjalnik,,,,,,,,,,,,
0,,Podravska,Mercedes-Benz,Drugi modeli,N/A,2001,,2001,1900,,1 ,Bencin,60 ,1397 ,Mehanski menjalnik,,,,,,,,,,,,
0,,Podravska,Chevrolet,Aveo,N/A,2007,,2007,1900,,1 ,Bencin,69 ,1399 ,Mehanski menjalnik,,,,,,,,,,,,
0,,Podravska,Renault,Scenic,N/A,2004,,2004,1900,,1 ,Diezel,88 ,1870 ,Mehanski menjalnik,,,,,,,,,,,,
0,,"""Podravska",BMW,Z4,"""2",2004,,2004,1900,,11111 ,Bencin,125 ,2171 ,,,,,,,,,,,,,
0,,"""Podravska",Ford,Mondeo, 1.8i Trend,2004,,2004,1900,,11111 ,Bencin,,1798 ,,,,,,,,,,,,,
0,,"""Osrednjeslovenska",Hyundai,ix35,1.7 CRDi Premium,2013,2013,2013,1900,,55000 ,Diezel,85 ,1685 ,Mehanski menjalnik,,,,,,,,,,,,
10,,Podravska,Lancia,Lybra SW,N/A,2002,,2002,1900,,1 ,Diezel,103 ,2387 ,Mehanski menjalnik,,,,,,,,,,,,
10,,Podravska,Alfa Romeo,156,N/A,2001,,2001,1900,,1 ,Bencin,88 ,1598 ,Mehanski menjalnik,,,,,,,,,,,,
10,,Podravska,Renault,Laguna Grandtour,N/A,2003,,2003,1900,,1 ,Diezel,88 ,1870 ,Mehanski menjalnik,,,,,,,,,,,,
5000,Prodam,"""Posavska",Citroën,C5,Tourer 2.0 HDI,2014,2014,2014,2014,06 / 2022,199000 ,Diezel,103 ,1997 ,Mehanski menjalnik,5.4 l/100km,,,,,6 stopenj,,,,,,
0,,"""Osrednjeslovenska",Honda,Accord,2. 0i  vtec sPORT,2005,2005,2005,1900,,180000 ,Bencin,114 ,1998 ,Mehanski menjalnik,,,,,,,,,,,,
0,,"""Osrednjeslovenska",Ford,S-Max,1.8 TDCi Trend,2008,2008,2008,1900,,190000 ,Diezel,92 ,1753 ,Mehanski menjalnik,,,,,,,,,,,,
0,,"""Osrednjeslovenska",Ford,Focus,1.8 TDCi sport,2006,2006,2006,1900,,200000 ,Diezel,85 ,1753 ,Mehanski menjalnik,,,,,,,,,,,,
0,,"""Osrednjeslovenska",Ford,Focus,1.6 TDCi titanium,2009,2009,2009,1900,,130000 ,Diezel,80 ,1560 ,Mehanski menjalnik,,,,,,,,,,,,
0,,"""Osrednjeslovenska",Ford,Fiesta,1.4 TDCi AMBIENTE,2005,2004,2005,1900,,180000 ,Diezel,50 ,1399 ,Mehanski menjalnik,,,,,,,,,,,,
0,,"""Osrednjeslovenska",Citroën,C4 Grand Picasso,1.6 HDI  SX,2009,2008,2009,1900,,160000 ,Diezel,80 ,1560 ,Mehanski menjalnik,,,,,,,,,,,,
0,,"""Osrednjeslovenska",Chevrolet,Aveo,1.4 16V LS,2011,,2011,1900,,60000 ,Bencin,74 ,1399 ,Mehanski menjalnik,,,,,,,,,,,,
0,Prodam,"""Savinjska",Audi,A4,PO DELIH,2003,,,,,400000 ,Diezel,96 ,1896 ,Mehanski menjalnik,,,,,,5 stopenj,,,,,,
0,,"""Podravska",Nissan,Micra, 1.4 Accenta,2003,,2003,1900,,11111 ,Bencin,65 ,1386 ,,,,,,,,,,,,,
